2,Hello,0:04:55
2,Send My Love (To Your New Lover),0:03:43
2,I Miss You,0:05:48
2,When We Were Young,0:04:50
2,Remedy,0:04:05
2,Water Under The Bridge,0:04:00
2,River Lea,0:03:45
2,Love in the Dark,0:04:45
2,Million Years Ago,0:03:47
2,All I Ask,0:04:31
2,Sweetest Devotion,0:04:11
3,Rolling in the Deep,0:03:48
3,Rumour Has It,0:03:41
3,Turning Tables,0:04:10
3,Don't You Remember,0:04:03
3,Set Fire to the Rain,0:04:01
3,He Won't Go,0:04:37
3,Take It All,0:03:48
3,I'll Be Waiting,0:04:01
3,One And Only,0:05:46
3,Lovesong,0:05:16
3,Someone Like You,0:04:45
1,If I Were a Boy,0:04:09
1,Halo,0:04:21
1,Disappear,0:04:27
1,Broken-Hearted Girl,0:04:37
1,Ave Maria,0:03:41
1,Smash Into You,0:04:31
1,Satellites,0:03:06
1,That's Why You're Beautiful,0:03:41
1,Single Ladies (Put a Ring on It),0:03:13
1,Radio,0:03:38
1,Diva,0:03:20
1,Sweet Dreams,0:03:28
1,Video Phone,0:03:35
1,Hello,0:04:16
1,Ego,0:03:56
1,Scared of Lonely,0:03:42
5,Deja Vu,0:03:59
5,Get Me Bodied,0:03:25
5,Suga Mama,0:03:24
5,Upgrade U,0:04:32
5,Ring The Alarm,0:03:23
5,Kitty Kat,0:03:55
5,Freakum Dress,0:03:20
5,Green Light,0:03:29
5,Irreplaceable,0:03:47
5,Resentment,0:04:40
5,Check On It - feat. Bun B and Slim Thug,0:03:30
6,Pretty Hurts,0:04:17
6,Haunted,0:06:09
6,Drunk in Love,0:05:23
6,Blow,0:05:09
6,No Angel,0:03:48
6,Partition,0:05:19
6,Jealous,0:03:04
6,Rocket,0:06:31
6,Mine,0:06:18
6,XO,0:03:35
6,***Flawless,0:04:10
6,Superpower,0:04:36
6,Heaven,0:03:50
6,Blue,0:04:26
6,11-Jul,0:03:33
6,Flawless Remix,0:03:54
6,Drunk in Love Remix,0:06:35
6,Ring Off,0:03:00
6,Blow Remix,0:05:09
6,Standing on the Sun Remix,0:04:33
7,Throwed,0:03:01
7,Kiss Kiss,0:04:10
7,Take You Down,0:04:05
7,With You,0:04:12
7,Picture Perfect,0:04:12
7,Hold Up,0:03:48
7,You,0:03:22
7,Damage,0:04:16
7,Wall To Wall,0:03:43
7,Help Me,0:03:17
7,I Wanna Be,0:03:46
7,Gimme Whatcha Got,0:03:48
7,I'll Call Ya,0:03:53
7,Lottery,0:03:41
7,Nice,0:04:32
7,Down,0:04:17
8,Turn Up the Music,0:03:47
8,Bassline,0:03:58
8,Till I Die,0:03:56
8,Mirage,0:04:17
8,Don't Judge Me,0:04:00
8,2012,0:04:08
8,Biggest Fan,0:03:59
8,Sweet Love,0:03:20
8,Strip,0:02:47
8,Stuck On Stupid,0:03:58
8,4 Years Old,0:03:49
8,Party Hard / Cadillac (Interlude),0:05:14
8,Don't Wake Me Up,0:03:42
8,Trumpet Lights,0:03:47
8,Tell Somebody,0:04:04
8,Free Run,0:04:01
8,Remember My Name,0:03:39
8,Wait For You,0:03:38
8,Touch Me,0:03:37
9,Rock and Roll Night Club,0:03:10
9,96.7 The Pipe,0:00:34
9,Baby's Wearing Blue Jeans,0:03:33
9,One More Tear To Cry,0:04:04
9,European Vegas,0:03:17
9,106.2 Breeze FM,0:01:00
9,She's Really All I Need,0:03:03
9,Moving Like Mike,0:02:57
9,Me and Jon Hanging On,0:02:41
9,I'm A Man,0:02:32
9,Only You,0:02:58
9,Me and Mine,0:02:04
10,Salad Days,0:02:25
10,Blue Boy,0:02:06
10,Brother,0:03:32
10,Let Her Go,0:03:02
10,Goodbye Weekend,0:02:59
10,Let My Baby Stay,0:04:08
10,Passing Out Pieces,0:02:47
10,Treat Her Better,0:03:49
10,Chamber Of Reflection,0:03:51
10,Go Easy,0:03:24
10,Jonny's Odyssey,0:02:38
11,The Way You'd Love Her,0:02:36
11,Another One,0:02:40
11,No Other Heart,0:02:53
11,Just to Put Me Down,0:03:18
11,A Heart Like Hers,0:04:01
11,I've Been Waiting for Her,0:02:47
11,Without Me,0:02:57
11,My House by the Water,0:02:34
12,Intro,0:01:07
13,Orchestral Intro - feat. sinfonia ViVA,0:01:09
13,Welcome To The World of The Plastic Beach - feat. Snoop Dogg and Hypnotic Brass Ensemble,0:03:35
13,Rhinestone Eyes,0:03:20
13,Stylo (feat. Mos Def and Bobby Womack),0:04:30
13,Superfast Jellyfish - feat. Gruff Rhys and De La Soul,0:02:54
13,Empire Ants - feat. Little Dragon,0:04:43
13,Glitter Freeze - feat. Mark E Smith,0:04:03
13,Some Kind of Nature - feat. Lou Reed,0:02:59
13,On Melancholy Hill,0:03:53
13,Broken,0:03:17
13,Sweepstakes - feat. Mos Def and Hypnotic Brass Ensemble,0:05:20
13,Plastic Beach - feat. Mick Jones and Paul Simonon,0:03:47
13,To Binge - feat. Little Dragon,0:03:55
13,Cloud of Unknowing - feat. Bobby Womack and sinfonia ViVA,0:03:06
13,Pirate Jet,0:02:32
14,Re-Hash,0:03:40
14,4-May,0:02:42
14,Tomorrow Comes Today,0:03:13
14,New Genius (Brother),0:03:59
14,Man Research (Clapper),0:04:32
14,Punk,0:01:38
14,Sound Check (Gravity),0:04:42
14,Double Bass,0:04:46
14,Rock the House,0:04:09
14,19-2000,0:03:30
14,Latin Simone (Que Pasa Contigo),0:03:38
14,Starshine,0:03:33
14,Slow Country,0:03:37
14,M1 A1,0:04:01
14,Dracula,0:04:41
14,Left Hand Suzuki Method,0:03:12
14,Clint Eastwood,0:04:29
15,Fly Talkin',0:01:35
15,Look At Me,0:04:00
15,Way Of Life,0:03:59
15,Big Tigger Live On The Radio,0:01:31
15,Gangsta And Pimps,0:04:41
15,Lovely,0:04:02
15,Gangsta Shit,0:03:40
15,Big Tigger Live On The Radio - Album Version #2 (Explicit),0:00:58
15,Bloodline,0:04:21
15,Where You At,0:03:50
15,Worry Me,0:04:06
15,500 Degreez,0:03:45
15,Go Hard,0:03:30
15,Young N' Blues,0:04:32
15,Believe That,0:04:12
15,Rob Nice Live On The Radio,0:01:13
15,F*** You,0:04:20
15,What Does Life Mean To Me,0:01:25
15,Get That Dough,0:03:38
15,Fo Sheezy,0:03:44
15,Fly Talkin' Go Home,0:03:20
16,Walk In,0:03:04
16,Go DJ,0:04:41
16,This Is The Carter,0:04:36
16,BM J.R.,0:04:58
16,On The Block #1,0:00:18
16,I Miss My Dawgs,0:04:35
16,We Don't,0:04:09
16,On My Own,0:04:28
16,The Heat,0:04:36
16,Cash Money Millionaires,0:04:42
16,Inside,0:01:30
16,Bring It Back,0:04:21
16,Who Wanna,0:04:32
16,On The Block #2,0:00:23
16,Get Down,0:04:32
16,Snitch,0:03:55
16,Hoes,0:04:32
16,Only Way,0:04:33
16,Shine,0:05:16
16,Ain't That A Bitch,0:04:17
16,Walk Out,0:01:08
17,Tha Mobb,0:05:20
17,Fly In,0:02:23
17,Money On My Mind,0:04:31
17,Fireman - Main,0:04:23
17,Mo Fire,0:03:23
17,On Tha Block #1 - Skit,0:00:38
17,Best Rapper Alive,0:04:53
17,Lock And Load,0:04:46
17,Oh No,0:03:11
17,Grown Man,0:04:06
17,On Tha Block #2 - Skit,0:00:25
17,Hit Em Up,0:04:07
17,Carter II,0:02:24
17,Hustler Musik,0:05:03
17,Receipt,0:03:48
17,Shooter,0:04:35
17,Weezy Baby,0:04:18
17,On Tha Block #3 - Skit,0:00:13
17,I'm A Dboy,0:04:00
17,Feel Me,0:03:48
17,Get Over,0:04:42
17,Fly Out,0:02:25
18,3 Peat,0:03:19
18,Mr. Carter,0:05:16
18,A Milli,0:03:41
18,Got Money,0:04:04
18,Comfortable,0:04:25
18,Dr. Carter,0:04:24
18,Phone Home,0:03:11
18,Tie My Hands,0:05:19
18,Mrs. Officer,0:04:46
18,Let The Beat Build,0:05:09
18,Shoot Me Down,0:04:29
18,Lollipop,0:04:59
18,La La,0:04:22
18,Pussy Monster,0:05:13
18,You Ain't Got Nuthin,0:05:27
18,DontGetIt,0:09:52
19,Intro,0:02:52
19,Blunt Blowin,0:05:12
19,MegaMan,0:03:18
19,6 Foot 7 Foot,0:04:08
19,Nightmares Of The Bottom,0:04:41
19,She Will,0:05:05
19,How To Hate,0:04:38
19,Interlude,0:02:01
19,John,0:04:46
19,Abortion,0:03:43
19,So Special,0:03:52
19,How To Love,0:04:00
19,President Carter,0:04:15
19,It's Good,0:04:01
19,Outro,0:03:52
19,I Like The View,0:04:41
19,Mirror,0:03:48
19,Two Shots,0:02:45
20,Blew,0:02:54
20,Floyd The Barber,0:02:18
20,About A Girl,0:02:48
20,School,0:02:42
20,Love Buzz,0:03:35
20,Paper Cuts,0:04:05
20,Negative Creep,0:02:55
20,Scoff,0:04:10
20,Swap Meet,0:03:02
20,Mr. Moustache,0:03:24
20,Sifting,0:05:22
20,Big Cheese,0:03:42
20,Downer,0:01:43
20,Intro - Live,0:00:52
20,School - Live,0:02:36
20,Floyd The Barber - Live,0:02:16
20,Dive - Live,0:03:42
20,Love Buzz - Live,0:02:57
20,Spank Thru - Live,0:02:59
20,Molly's Lips - Live,0:02:15
20,Sappy - Live,0:03:19
20,Scoff - Live,0:03:52
20,About A Girl - Live,0:02:27
20,Been A Son - Live,0:02:00
20,Blew - Live,0:04:31
21,Smells Like Teen Spirit,0:05:01
21,In Bloom - Nevermind Version,0:04:15
21,Come As You Are,0:03:38
21,Breed,0:03:04
21,Lithium,0:04:17
21,Polly,0:02:53
21,Territorial Pissings,0:02:22
21,Drain You,0:03:43
21,Lounge Act,0:02:36
21,Stay Away,0:03:31
21,On A Plain,0:03:14
21,Something In The Way,0:03:52
22,Serve The Servants,0:03:37
22,Scentless Apprentice,0:03:48
22,Heart-Shaped Box,0:04:41
22,Rape Me,0:02:50
22,Frances Farmer Will Have Her Revenge On Seattle,0:04:10
22,Dumb,0:02:31
22,Very Ape,0:01:55
22,Milk It,0:03:54
22,Pennyroyal Tea,0:03:38
22,Radio Friendly Unit Shifter,0:04:51
22,Tourette's,0:01:35
22,All Apologies,0:03:50
22,Gallons Of Rubbing Alcohol Flow Through The Strip,0:07:34
22,Marigold - B-Side,0:02:34
22,Moist Vagina - 2013 Mix,0:03:33
22,Sappy - 2013 Mix,0:03:25
22,I Hate Myself And Want To Die - 2013 Mix,0:02:59
22,Pennyroyal Tea - Scott Litt Mix,0:03:35
22,Heart Shaped Box - Original Steve Albini 1993 Mix,0:04:41
22,All Apologies - Original Steve Albini 1993 Mix,0:03:53
22,Serve The Servants - 2013 Mix,0:03:38
22,Scentless Apprentice - 2013 Mix,0:03:49
22,Heart Shaped Box - 2013 Mix,0:04:38
22,Rape Me - 2013 Mix,0:02:49
22,Frances Farmer Will Have Her Revenge On Seattle - 2013 Mix,0:04:11
22,Dumb - 2013 Mix,0:02:32
22,Very Ape - 2013 Mix,0:01:57
22,Milk It - 2013 Mix,0:03:56
22,Pennyroyal Tea - 2013 Mix,0:03:32
22,Radio Friendly Unit Shifter - 2013 Mix,0:04:52
22,Tourette's - 2013 Mix,0:01:36
22,All Apologies - 2013 Mix,0:03:51
22,Scentless Apprentice - Demo,0:03:53
22,Frances Farmer Will Have Her Revenge On Seattle - Demo / Instrumental,0:04:32
22,Dumb - Demo / Instrumental,0:02:38
22,Very Ape - Demo / Instrumental,0:02:20
22,Pennyroyal Tea - Demo / Instrumental,0:03:31
22,Radio Friendly Unit Shifter - Demo / Instrumental,0:02:39
22,Tourette's - Demo / Instrumental,0:02:14
22,Marigold - Demo,0:03:25
22,All Apologies - Demo,0:04:24
22,Forgotten Tune - Demo / Instrumental,0:02:04
22,Jam - Demo,0:05:35
23,And The Cradle Will Rock...,0:03:33
23,Everybody Wants Some!!,0:05:08
23,Fools,0:05:57
23,Romeo Delight,0:04:21
23,Tora! Tora!,0:00:56
23,Loss Of Control,0:02:38
23,Take Your Whiskey Home,0:03:10
23,Could This Be Magic?,0:03:11
23,In A Simple Rhyme,0:04:39
24,Where Have All The Good Times Gone!,0:03:04
24,Hang 'em High,0:03:28
24,Cathedral,0:01:22
24,Secrets,0:03:25
24,Intruder,0:01:39
24,(Oh) Pretty Woman,0:02:55
24,Dancing In The Street,0:03:45
24,Little Guitars - Intro Album Version,0:00:42
24,Little Guitars,0:03:48
24,Big Bad Bill - Is Sweet William Now,0:02:45
24,The Full Bug,0:03:21
24,Happy Trails,0:01:05
25,25,0:01:06
25,Jump,0:03:59
25,Panama,0:03:32
25,Top Jimmy,0:03:00
25,Drop Dead Legs,0:04:14
25,Hot For Teacher,0:04:42
25,I'll Wait,0:04:42
25,Girl Gone Bad,0:04:34
25,House Of Pain,0:03:19
26,Good Enough,0:04:03
26,Why Can't This Be Love,0:03:47
26,Get Up,0:04:37
26,Dreams,0:04:54
26,Summer Nights,0:05:05
26,Best of Both Worlds,0:04:48
26,Love Walks In,0:05:10
26,26,0:05:42
26,Inside,0:05:01
27,Burnout,0:02:07
27,Having A Blast,0:02:44
27,Chump,0:02:54
27,Longview,0:03:53
27,Welcome To Paradise,0:03:44
27,Pulling Teeth,0:02:30
27,Basket Case,0:03:01
27,She,0:02:14
27,Sassafras Roots,0:02:37
27,When I Come Around,0:02:58
27,Coming Clean,0:01:34
27,Emenius Sleepus,0:01:43
27,In The End,0:01:46
27,F.O.D.,0:02:50
27,All By Myself,0:01:40
28,American Idiot,0:02:56
28,Jesus Of Suburbia,0:09:08
28,Holiday/Boulevard Of Broken Dreams,0:08:13
28,Are We The Waiting/St. Jimmy,0:05:38
28,Give Me Novacaine/She's A Rebel,0:05:26
28,Extraordinary Girl/Letterbomb,0:07:40
28,Wake Me Up When September Ends,0:04:45
28,Homecoming,0:09:18
28,Whatsername,0:04:17
29,Nice Guys Finish Last,0:02:48
29,Hitchin' A Ride,0:02:51
29,The Grouch,0:02:12
29,Redundant,0:03:18
29,Scattered,0:03:02
29,All The Time,0:02:10
29,Worry Rock,0:02:27
29,Platypus (I Hate You),0:02:21
29,Uptight,0:03:04
29,Last Ride In,0:03:47
29,Jinx,0:02:12
29,Haushinka,0:03:25
29,Walking Alone,0:02:45
29,Reject,0:02:05
29,Take Back,0:01:09
29,King For A Day,0:03:13
29,Good Riddance (Time Of Your Life),0:02:33
29,Prosthetic Head,0:03:38
30,...Baby One More Time,0:03:31
30,(You Drive Me) Crazy,0:03:18
30,Sometimes,0:04:05
